,ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc,NewLoanApplication,PredNoPago,error,nopago_presta
20,10021,726,0.1740462772309545,146746,43,6,15,12079,17,24,Mortgage,PhD,Widowed,14,0.16069987,120790.0,0.1599493,0.0007505673266601509,0.22018923135398522
21,10022,534,0.0322561479225805,136033,46,9,1,11891,2,18,Mortgage,High School,Divorced,17,0.0,202147.0,0.120427735,-0.12042773514986038,0.0
22,10023,789,0.9413113410991132,25695,31,5,2,12146,1,13,Mortgage,High School,Widowed,11,0.15052204,267212.0,0.07628724,0.07423480021003723,0.20377261583102163
23,10024,749,0.1134693857247679,129106,72,9,0,16145,9,7,Rent,Masters,Divorced,2,0.0,306755.0,0.018319016,-0.018319016322493553,0.0
24,10025,513,0.0095497053011478,133533,55,5,8,5636,9,23,Rent,High School,Widowed,17,0.0,101448.0,0.0032693844,-0.0032693843822926283,0.0
25,10026,500,0.4396256927976116,137810,87,6,4,5257,1,2,Rent,High School,Divorced,7,0.16030647,89369.0,0.10693582,0.053370648526401526,0.21954729185539873
26,10027,807,0.3765072678471363,101350,79,3,19,8072,5,1,Mortgage,High School,Widowed,0,0.1545075,137224.0,0.015125563,0.13938193663179874,0.2101539930868694
27,10028,321,0.6173467396967849,55566,21,3,1,5321,0,14,Mortgage,Masters,Divorced,14,0.16636494,53210.0,0.1771408,-0.010775862145004284,0.2295005214871842
28,10029,317,0.1175275334024498,38847,33,8,3,17436,12,12,Rent,High School,Divorced,24,0.1605433,87180.0,0.201424,-0.0408807026473999,0.21993367257656066
29,10030,306,0.4277647761460058,149304,30,6,10,14221,7,4,Rent,Masters,Divorced,16,0.0,241757.0,0.16596599,-0.1659659892320633,0.0
30,10031,453,0.3112843734405391,153983,43,4,15,18533,0,14,Rent,High School,Widowed,11,0.15500307,111198.0,0.017042937,0.13796013324279308,0.2109516900848385
31,10032,544,0.0881325599396851,123478,22,7,10,18077,13,11,Rent,Masters,Single,25,0.1618892,72308.0,0.16417481,-0.002285610051918019,0.22213361288268813
32,10033,460,0.1590269168013699,127728,36,9,8,12360,17,4,Own,Bachelor,Widowed,14,0.16898656,173040.0,0.18024214,-0.011255576120796196,0.2338524681381807
33,10034,685,0.864404421262959,148266,35,6,0,4190,2,21,Rent,Masters,Divorced,7,0.16410574,12570.0,0.1848526,-0.02074686009765625,0.22577209825558558
34,10035,394,0.7074052959076863,133296,46,8,14,12180,0,8,Mortgage,Masters,Divorced,2,0.16699931,133980.0,0.02256242,0.14443689000433446,0.23055107733464175
35,10036,516,0.3143796593710414,51343,43,9,8,6820,3,5,Mortgage,Bachelor,Widowed,19,0.16731185,54560.0,0.14225574,0.025056111622428906,0.2310692514358466
36,10037,578,0.0649048512698934,78678,85,7,13,11399,5,3,Rent,Masters,Divorced,9,0.0,136788.0,0.0063887415,-0.006388741545379162,0.0
37,10038,536,0.3218254543152953,33674,63,8,11,7175,4,1,Own,Masters,Widowed,1,0.15016669,129150.0,0.012543615,0.13762307504624366,0.2032065482347356
38,10039,593,0.3795315689111994,158350,19,8,5,7862,6,13,Mortgage,PhD,Divorced,11,0.16537605,133654.0,0.1748063,-0.009430246825408939,0.22786604374341274
39,10040,812,0.0135688105747538,63420,65,4,1,6263,5,19,Rent,High School,Widowed,25,0.0,50104.0,0.0027971633,-0.002797163324430585,0.0
40,10041,624,0.4358259711032395,151875,25,5,4,14866,3,9,Own,High School,Widowed,5,0.0,178392.0,0.007531635,-0.007531634997576475,0.0
41,10042,809,0.0983103893248005,160057,58,3,10,10877,1,27,Mortgage,High School,Widowed,11,0.0,108770.0,0.0049821287,-0.004982128739356995,0.0
42,10043,355,0.0688631063049124,178046,89,6,3,4182,13,1,Mortgage,High School,Widowed,8,0.0,41820.0,0.0064140386,-0.006414038594812155,0.0
43,10044,792,0.2520325625321646,44003,70,9,1,14187,0,28,Mortgage,Masters,Widowed,9,0.0,212805.0,0.0029146678,-0.0029146678280085325,0.0
44,10045,423,0.9096815845602916,78213,35,9,13,13046,8,13,Rent,Masters,Divorced,3,0.16466957,221782.0,0.1751508,-0.010481226771049512,0.22670071470998626
45,10046,440,0.1804019010027925,65593,66,9,11,2622,10,6,Rent,High School,Widowed,0,0.0,39330.0,0.0026891131,-0.0026891131419688463,0.0
46,10047,820,0.3787255549115349,48976,30,9,5,3861,1,18,Mortgage,PhD,Widowed,20,0.16752638,34749.0,0.0077169086,0.15980947141471982,0.23142515555027432
47,10048,630,0.4874379046568359,125483,19,5,4,18729,4,10,Mortgage,High School,Divorced,1,0.1532981,56187.0,0.153227,7.109857139586673e-05,0.20821119569945465
48,10049,821,0.3932005069594873,103563,77,8,14,11886,9,29,Mortgage,Masters,Widowed,3,0.16665582,95088.0,0.1783981,-0.011742282521896352,0.22998203815379153
49,10050,822,0.3390848763878119,126478,66,9,10,4138,0,0,Own,High School,Widowed,4,0.0,78622.0,0.0025234506,-0.0025234506465494633,0.0
50,10051,727,0.0663334168063698,61987,52,2,11,5722,17,28,Mortgage,High School,Widowed,1,0.0,28610.0,0.010538753,-0.010538753122091293,0.0
51,10052,675,0.693203304752534,106962,39,8,3,6011,12,8,Mortgage,High School,Widowed,26,0.0,24044.0,0.12185461,-0.12185461074113846,0.0
52,10053,610,0.0112062229957949,142855,70,4,18,4113,11,13,Own,High School,Widowed,5,0.15450637,41130.0,0.010711607,0.14379476340806008,0.2101521752446556
53,10054,436,0.1063746411375482,176577,79,9,0,16222,9,2,Rent,Masters,Married,22,0.15871607,97332.0,0.18625563,-0.027539563831024183,0.21695823965162378
54,10055,604,0.2493933324196662,130014,20,5,15,16246,6,24,Rent,Masters,Divorced,10,0.0,243690.0,0.16610327,-0.1661032736301422,0.0
55,10056,570,0.0239393852759406,174522,28,2,3,17027,10,12,Rent,PhD,Widowed,18,0.16457865,306486.0,0.16450442,7.422626247405306e-05,0.22655088656759836
56,10057,700,0.4457468635794926,76775,86,9,1,2969,8,2,Mortgage,High School,Widowed,4,0.0,53442.0,0.0022830907,-0.002283090725541115,0.0
57,10058,441,0.3099436059789231,105555,67,9,6,14578,16,22,Rent,Masters,Widowed,5,0.16454378,306138.0,0.16974193,-0.005198148577423095,0.22649343253438234
58,10059,607,0.2027386261894344,117098,89,0,19,5035,5,13,Rent,High School,Widowed,5,0.0,30210.0,0.0030418888,-0.0030418888200074434,0.0
59,10060,671,0.2026507154537716,65616,54,7,8,9325,19,7,Mortgage,Masters,Widowed,0,0.0,74600.0,0.10767042,-0.10767041891813278,0.0
60,10061,759,0.4527908857701047,189172,58,4,3,6758,0,2,Mortgage,Masters,Divorced,11,0.15876754,101370.0,0.13885768,0.019909862421073926,0.2170418756784541
61,10062,653,0.0272946266038021,122999,85,1,7,12591,10,15,Rent,High School,Widowed,10,0.0,201456.0,0.003233984,-0.003233984112739563,0.0
62,10063,369,0.4139852776333019,118703,20,8,8,12814,7,8,Rent,High School,Widowed,13,0.0,76884.0,0.08422972,-0.0842297226190567,0.0
63,10064,624,0.0760750394342928,54556,33,7,12,18301,1,29,Mortgage,Masters,Divorced,14,0.0,384321.0,0.11727178,-0.1172717809677124,0.0
64,10065,327,0.4542572673236871,86584,51,7,17,5062,7,4,Rent,Masters,Divorced,3,0.16513474,80992.0,0.16534293,-0.00020818697906493933,0.22746778444224655
65,10066,809,0.92534525388761,48463,69,5,10,19041,11,9,Rent,Masters,Widowed,8,0.16664553,228492.0,0.05185584,0.11478969021108626,0.22996499856777627
66,10067,681,0.104552926978596,60918,59,2,12,11469,6,13,Rent,Masters,Widowed,6,0.0,68814.0,0.0025947432,-0.0025947431568056345,0.0
67,10068,499,0.2262730969023417,56347,25,7,1,19780,0,28,Mortgage,Bachelor,Widowed,21,0.16706279,178020.0,0.16781636,-0.0007535658244705312,0.23065629220718814
68,10069,620,0.4196740502182668,46089,39,3,6,6485,4,1,Own,High School,Widowed,2,0.15175907,136185.0,0.0155209005,0.13623816951210022,0.20574688667758584
69,10070,579,0.3687452927356688,131497,44,9,7,10685,8,17,Own,High School,Widowed,7,0.0,106850.0,0.121509604,-0.1215096041560173,0.0
70,10071,767,0.9841589570473204,159146,30,9,1,18678,11,17,Mortgage,Masters,Married,14,0.16395622,149424.0,0.17398156,-0.010025342256813036,0.22552605199694206
71,10072,695,0.3005582194523124,192932,27,5,0,14908,19,24,Mortgage,High School,Widowed,16,0.0,89448.0,0.15921573,-0.15921573340892792,0.0
72,10073,310,0.168542113732019,139368,26,6,19,13622,11,29,Own,Masters,Widowed,10,0.1595319,258818.0,0.17855044,-0.019018537092781063,0.21828512587211799
73,10074,820,0.1457846007182559,96607,60,1,10,14090,16,11,Rent,Masters,Widowed,12,0.0,42270.0,0.0055389693,-0.005538969300687313,0.0
74,10075,764,0.0724449473751327,45557,20,6,5,2640,1,7,Mortgage,Masters,Single,8,0.1554267,42240.0,0.14914581,0.0062808882038116465,0.21163433061405085
75,10076,560,0.5771126589984643,132405,27,4,2,7430,5,0,Own,High School,Widowed,27,0.16759685,96590.0,0.17520015,-0.007603299416923531,0.23154210492836316
76,10077,593,0.1068101195388474,164126,88,3,11,7745,0,1,Rent,Masters,Married,3,0.15731004,77450.0,0.09217075,0.06513928741506578,0.21467746690609676
77,10078,765,0.6761956901192232,56957,56,7,6,9170,6,17,Rent,High School,Widowed,0,0.0,128380.0,0.0042551868,-0.004255186766386032,0.0
78,10079,458,0.5696963244630067,63412,71,5,16,12950,0,0,Rent,Masters,Widowed,9,0.0,142450.0,0.0027411946,-0.002741194562986493,0.0
79,10080,753,0.1229742384958967,154919,32,9,7,18971,12,29,Own,Masters,Widowed,22,0.0,322507.0,0.17559943,-0.17559942603111267,0.0
80,10081,342,0.3650052651838616,48964,27,4,17,4511,2,1,Rent,High School,Widowed,19,0.16323735,94731.0,0.14142923,0.02180811942920685,0.22434432571769297
81,10082,737,0.0700189305448651,109765,31,6,16,8703,6,14,Own,Bachelor,Widowed,18,0.16990471,156654.0,0.17085491,-0.0009502012081527844,0.23538311667808637
82,10083,409,0.4935539167804333,57667,23,8,5,16876,16,27,Mortgage,High School,Widowed,2,0.15237726,84380.0,0.15545027,-0.0030730095798874035,0.2067356628492529
83,10084,447,0.1287966775074743,142539,66,4,13,14739,6,8,Own,Masters,Widowed,10,0.155282,58956.0,0.15195754,0.003324458295822147,0.2114010829649658
84,10085,597,0.2058229960393357,147794,19,4,6,10334,2,4,Mortgage,Masters,Single,10,0.0,196346.0,0.008293845,-0.008293844759464264,0.0
85,10086,644,0.9269345203968204,34579,20,6,7,16639,14,18,Rent,Masters,Widowed,24,0.15484801,66556.0,0.169278,-0.014429985824813835,0.21070199633559408
86,10087,751,0.7369897641101478,119716,51,3,7,7189,1,20,Rent,Masters,Widowed,11,0.16138265,122213.0,0.1506802,0.010702450734519947,0.22130480307854333
87,10088,790,0.4386684623610668,47672,50,9,1,4756,12,27,Rent,Masters,Widowed,13,0.0,80852.0,0.12567708,-0.12567707896232605,0.0
88,10089,519,0.3656851984435433,90090,37,9,11,8374,9,17,Mortgage,Masters,Divorced,3,0.0,75366.0,0.145254,-0.1452540010213852,0.0
89,10090,395,0.3057215620803875,36183,30,8,12,10308,1,2,Mortgage,Bachelor,Widowed,11,0.16073622,41232.0,0.14074105,0.019995169756622327,0.2202485766751425
90,10091,833,0.3043620804173397,146802,86,6,9,12801,13,4,Own,High School,Widowed,21,0.0,89607.0,0.004968567,-0.004968566820025444,0.0
91,10092,802,0.0913651196862406,178772,31,5,7,9169,5,7,Rent,PhD,Widowed,3,0.0,174211.0,0.0026388392,-0.0026388391852378845,0.0
92,10093,750,0.9092657413306228,198049,57,9,3,14692,15,11,Mortgage,PhD,Widowed,11,0.15228513,176304.0,0.013839209,0.13844592054772853,0.20658821226056823
93,10094,439,0.0001352521913496,49158,51,0,4,4526,16,0,Own,High School,Widowed,26,0.0,54312.0,0.011418371,-0.011418371461331844,0.0
94,10095,800,0.0077371322756732,181505,29,7,15,19241,2,13,Mortgage,Masters,Divorced,9,0.0,288615.0,0.0037979088,-0.003797908779233694,0.0
95,10096,469,0.5449938238426134,46232,30,2,2,4640,4,10,Rent,High School,Widowed,13,0.1623885,55680.0,0.09803421,0.06435428949689864,0.2229515413768793
96,10097,682,0.0804576004894517,98299,54,9,19,13207,0,7,Rent,High School,Widowed,16,0.0,26414.0,0.0023170863,-0.0023170863278210163,0.0
97,10098,596,0.0394293441021752,196221,33,8,13,16521,19,7,Mortgage,Masters,Divorced,6,0.0,82605.0,0.15523042,-0.15523041784763336,0.0
98,10099,649,0.0793409954697024,105013,60,2,12,10028,6,23,Rent,Masters,Widowed,1,0.0,70196.0,0.006336429,-0.00633642915636301,0.0
99,10100,845,0.9119523857707216,53133,25,3,7,1552,12,19,Rent,Masters,Widowed,13,0.16354679,17072.0,0.17066376,-0.007116969112358096,0.22485275476436992
100,10101,437,0.101686777482996,99955,20,9,9,3256,9,28,Mortgage,Masters,Widowed,7,0.0,29304.0,0.036323655,-0.036323655396699905,0.0
101,10102,747,0.4807162563304257,181009,43,6,16,4211,2,2,Rent,Bachelor,Widowed,13,0.15532531,25266.0,0.12057433,0.03475097722631454,0.21147088768576697
102,10103,555,0.7969321363650979,169419,41,9,15,19626,12,3,Rent,Masters,Widowed,0,0.0,333642.0,0.002555735,-0.002555734943598509,0.0
103,10104,383,0.0715466141129781,199461,31,7,17,14446,0,17,Mortgage,Masters,Single,3,0.0,101122.0,0.0053478377,-0.005347837693989277,0.0
104,10105,302,0.1907004823944699,127542,47,9,0,11313,4,10,Rent,Bachelor,Widowed,1,0.0,90504.0,0.008666447,-0.00866644736379385,0.0
105,10106,689,0.0966659145319912,113028,33,9,14,6271,0,1,Rent,High School,Widowed,22,0.0,119149.0,0.002306899,-0.002306899055838585,0.0
106,10107,363,0.00546684361211,153959,64,7,7,2872,1,2,Rent,Masters,Single,14,0.15573014,34464.0,0.010492553,0.14523758699686765,0.21212371717261114
107,10108,587,0.013013503128309,67350,89,8,0,13245,9,29,Own,High School,Widowed,0,0.0,105960.0,0.041783318,-0.04178331792354584,0.0
108,10109,718,0.2230414153304992,142665,33,9,2,19665,17,2,Mortgage,PhD,Widowed,19,0.0,275310.0,0.0037803843,-0.0037803843151777983,0.0
109,10110,630,0.0338955165106389,49487,54,3,0,19612,15,29,Rent,Masters,Widowed,7,0.1568022,274568.0,0.1796278,-0.022825605948257444,0.21385555085651312
110,10111,786,0.2304503087086702,82613,42,3,11,4188,6,15,Mortgage,High School,Widowed,24,0.0,37692.0,0.005099836,-0.005099835805594921,0.0
111,10112,639,0.5928281823912299,87097,54,9,7,18730,6,10,Rent,Bachelor,Widowed,0,0.16640769,412060.0,0.020574158,0.14583353194242954,0.22957126787793908
112,10113,370,0.8573280642013115,158236,54,4,9,12911,9,1,Rent,Masters,Widowed,18,0.16382065,180754.0,0.15810743,0.005713220257186902,0.22530303756006406
113,10114,553,0.1531695547329973,111310,81,9,7,9176,17,18,Mortgage,High School,Widowed,8,0.0,165168.0,0.00838672,-0.008386719971895218,0.0
114,10115,677,0.118382153103099,62601,36,6,18,15568,9,24,Own,Masters,Widowed,0,0.15810072,233520.0,0.15462528,0.0034754383084487916,0.21595912043065285
115,10116,766,0.4339080459740175,193525,61,1,13,14582,3,4,Rent,Bachelor,Widowed,3,0.0,247894.0,0.0042687953,-0.0042687952518463135,0.0
116,10117,724,0.9615800615908692,195770,29,8,0,11221,12,5,Mortgage,High School,Divorced,3,0.0,89768.0,0.10508366,-0.1050836592912674,0.0
117,10118,805,0.1571586696846539,84928,85,7,18,12724,6,10,Rent,Masters,Divorced,14,0.16945408,229032.0,0.14680387,0.02265020920284272,0.23463144819253343
118,10119,675,0.2382677424069076,53358,28,7,16,11718,2,23,Mortgage,High School,Widowed,13,0.0,70308.0,0.003248107,-0.0032481069210916758,0.0
119,10120,362,0.0788234191055301,106913,43,6,4,11778,19,24,Mortgage,High School,Divorced,17,0.1623396,212004.0,0.17635575,-0.014016149368667602,0.22287139275057052
120,10121,468,0.2000709954699414,87080,48,3,8,17949,5,23,Rent,High School,Widowed,4,0.0,161541.0,0.0032820264,-0.0032820263877511024,0.0
121,10122,640,0.2581598356688017,176939,72,6,7,12423,13,11,Mortgage,Masters,Widowed,12,0.0,173922.0,0.13772023,-0.1377202272415161,0.0
122,10123,586,0.7724810279414502,164692,54,5,0,14579,17,5,Rent,Masters,Widowed,1,0.15590186,72895.0,0.13844404,0.017457823754653934,0.2124008222550992
123,10124,644,0.0404348686515833,25711,43,8,13,2390,8,9,Rent,High School,Widowed,4,0.0,35850.0,0.002190515,-0.0021905149333178997,0.0
124,10125,505,0.1584225920479093,141871,20,2,4,7491,2,10,Mortgage,Masters,Widowed,1,0.0,37455.0,0.0029717744,-0.0029717744328081608,0.0
125,10126,525,0.1034746010377488,36813,37,9,6,1791,9,20,Mortgage,Masters,Divorced,18,0.1645255,30447.0,0.17009306,-0.005567559539794931,0.22646331515803286
126,10127,715,0.0443879075920414,47361,47,0,15,4989,5,6,Rent,High School,Widowed,17,0.0,99780.0,0.0024864515,-0.002486451528966427,0.0
127,10128,592,0.0231491547641233,181910,63,5,14,7617,17,4,Rent,PhD,Widowed,22,0.15069883,45702.0,0.042756826,0.10794200431449891,0.2040544162914553
128,10129,450,0.296537626719073,182430,50,5,10,16261,15,18,Mortgage,High School,Divorced,0,0.15732707,276437.0,0.18440047,-0.02707339906471251,0.21470504635766569
129,10130,447,0.2512252359050928,98473,26,3,4,13757,7,4,Own,Masters,Widowed,5,0.0,178841.0,0.020766703,-0.02076670341193676,0.0
130,10131,679,0.0510392344144378,129814,66,3,2,18920,19,12,Mortgage,Masters,Widowed,7,0.16119066,75680.0,0.18244971,-0.021259053349342333,0.2209909334104458
131,10132,657,0.6724497697981313,193292,48,8,13,12113,9,1,Rent,Masters,Widowed,18,0.0,254373.0,0.0029962573,-0.002996257273480296,0.0
132,10133,679,0.072270822793918,120217,67,2,7,16860,0,4,Own,Masters,Widowed,3,0.0,185460.0,0.0027936818,-0.0027936818078160286,0.0
133,10134,687,0.3584377784027343,162807,18,5,5,7599,12,18,Rent,High School,Widowed,8,0.0,144381.0,0.009641039,-0.009641039185225964,0.0
134,10135,514,0.4074474012817198,101149,87,2,4,7366,10,0,Rent,Masters,Widowed,18,0.0,58928.0,0.004752666,-0.004752666223794222,0.0
135,10136,395,0.2962248670284728,150464,20,9,14,1502,1,0,Mortgage,Masters,Single,1,0.0,9012.0,0.0059927297,-0.0059927296824753284,0.0
136,10137,404,0.54658268897434,129814,23,9,7,2756,3,9,Mortgage,Masters,Widowed,6,0.0,33072.0,0.0023184414,-0.002318441402167082,0.0
137,10138,512,0.6588003202214213,110866,21,7,4,13093,8,27,Rent,High School,Widowed,6,0.15612072,209488.0,0.17268695,-0.016566229372291574,0.21275416076100362
138,10139,487,0.0229432921798831,174632,18,3,12,6493,3,17,Mortgage,Masters,Widowed,23,0.0,45451.0,0.074801475,-0.0748014748096466,0.0
139,10140,651,0.0028473380773569,126191,23,1,9,4929,9,4,Rent,Bachelor,Widowed,17,0.0,9858.0,0.13032904,-0.13032904267311096,0.0
140,10141,810,0.8086970651067672,119374,20,9,2,17712,16,27,Rent,High School,Widowed,23,0.16176754,301104.0,0.17284292,-0.011075379826507581,0.22193446314403045
141,10142,631,0.4608265633376861,97278,83,7,15,9849,3,3,Mortgage,Masters,Widowed,3,0.0,68943.0,0.002832946,-0.00283294590190053,0.0
142,10143,411,0.1383585991779318,136571,40,8,2,9397,8,16,Mortgage,Masters,Widowed,5,0.0,187940.0,0.00303762,-0.0030376201029866934,0.0
143,10144,813,0.7461235327064653,142640,44,8,14,16233,8,2,Rent,Bachelor,Widowed,21,0.16331838,340893.0,0.15905866,0.004259719731216444,0.22447742667037435
144,10145,494,0.0844598721095752,146507,40,6,11,18899,3,7,Rent,Masters,Single,29,0.16882055,226788.0,0.1478792,0.020941351806449904,0.2335760737347392
145,10146,756,0.1174543903596171,164191,36,1,12,11592,9,20,Mortgage,Masters,Widowed,10,0.0,150696.0,0.16495435,-0.16495434939861298,0.0
146,10147,753,0.1635030062021988,192343,44,0,2,6009,4,19,Own,High School,Widowed,24,0.16529484,96144.0,0.19201142,-0.026716575958404543,0.22773198862218627
147,10148,715,0.3698050016827771,192138,52,7,4,17162,5,13,Rent,Bachelor,Widowed,21,0.16205038,291754.0,0.17379086,-0.011740477195854193,0.2223975434227179
148,10149,360,0.5646101440257894,147670,65,3,6,4515,6,0,Rent,High School,Widowed,0,0.0,27090.0,0.0037364676,-0.0037364675663411617,0.0
149,10150,360,0.8073829690487893,127298,26,6,1,14414,11,7,Rent,Masters,Married,5,0.15850101,187382.0,0.16000088,-0.0014998655922317528,0.21660888921566007
150,10151,831,0.6286036990276237,187831,84,4,11,15097,14,10,Rent,Bachelor,Widowed,12,0.16891043,211358.0,0.17512092,-0.006210489942855835,0.233725703596545
151,10152,371,0.0239515638528958,192378,47,7,13,9995,6,24,Rent,Masters,Divorced,3,0.0,59970.0,0.17351153,-0.1735115349292755,0.0
152,10153,607,0.0462426615814687,35180,38,1,13,5987,9,9,Rent,PhD,Widowed,27,0.15982778,125727.0,0.013964839,0.14586294072034836,0.21876698922513763
153,10154,709,0.8102256872524756,155533,24,6,13,7982,18,7,Rent,High School,Widowed,9,0.1645287,47892.0,0.16327082,0.001257883793067932,0.22646858725129154
154,10155,572,0.2577981836974148,147615,69,3,9,7563,16,0,Mortgage,High School,Widowed,5,0.15318456,83193.0,0.1388868,0.014297765552101133,0.20802908836900755
155,10156,688,0.151997321678352,189457,20,1,5,2523,4,6,Rent,Masters,Widowed,15,0.0,5046.0,0.0028588972,-0.00285889720544219,0.0
156,10157,748,0.4259072557436287,136424,27,2,18,10196,3,14,Rent,High School,Widowed,7,0.1546729,193724.0,0.0101326695,0.14454023052879572,0.2104201261263244
157,10158,497,0.1545799995199004,123035,70,6,0,15743,16,0,Own,High School,Widowed,22,0.0,330603.0,0.15883276,-0.15883275866508484,0.0
158,10159,473,0.0618212724908584,121031,86,2,12,3940,8,17,Rent,PhD,Widowed,25,0.1655505,82740.0,0.0057911035,0.15975939653265475,0.2281541003979269
159,10160,711,0.9900958460068526,90685,41,6,2,16052,10,20,Mortgage,Masters,Widowed,18,0.16199908,353144.0,0.16853224,-0.006533157410545359,0.22231352920233066
160,10161,814,0.3521964793472579,107569,85,9,12,8123,9,1,Mortgage,PhD,Widowed,1,0.15563354,73107.0,0.006037024,0.14959651615021466,0.21196788299715263
161,10162,650,0.5713359223208767,30875,39,6,6,17239,16,11,Rent,Masters,Widowed,28,0.0,155151.0,0.10877849,-0.10877849161624908,0.0
162,10163,716,0.0583208721253963,45827,66,7,5,3063,6,18,Mortgage,Masters,Widowed,9,0.0,30630.0,0.0029075812,-0.0029075811617076397,0.0
163,10164,528,0.5293203502780279,140418,18,8,2,15170,14,10,Mortgage,Masters,Widowed,7,0.0,75850.0,0.0033032584,-0.0033032584469765425,0.0
164,10165,823,0.1355284118545254,102880,19,7,1,16293,13,4,Mortgage,Masters,Married,4,0.15818667,179223.0,0.14921032,0.00897635107700348,0.2160985862507071
165,10166,721,0.1625430803759918,112352,86,9,13,5172,19,12,Rent,Masters,Widowed,13,0.0,25860.0,0.0047418047,-0.004741804674267769,0.0
166,10167,619,0.184258016316259,160377,46,7,13,5510,14,0,Mortgage,PhD,Widowed,21,0.15660755,44080.0,0.13501765,0.021589901660728467,0.21354078104445917
167,10168,772,0.5731746099589573,197815,40,5,17,7415,2,5,Mortgage,Masters,Divorced,2,0.16815364,126055.0,0.1639863,0.00416734453834533,0.2324668295717492
168,10169,819,0.4474301088317997,97537,87,6,0,18339,5,5,Rent,PhD,Widowed,2,0.16737641,183390.0,0.0037084469,0.1636679631359613,0.23117633683667313
169,10170,795,0.1277634655010125,92089,77,5,12,2408,5,2,Mortgage,High School,Widowed,5,0.0,43344.0,0.0026370015,-0.0026370014529675245,0.0
170,10171,476,0.1175787281226002,48644,85,8,14,6248,18,11,Rent,Masters,Widowed,28,0.1541222,62480.0,0.014717657,0.13940454288096427,0.20953443866241678
